Deal Status,Unit Type,Model Year,Model,ShortVIN,Inv. Prep. Stat.,Deal Completion,GPS Fix,GPS Fix Reason,Moving (Calc),PT Status,PT Serial ,Encore Serial,PT Last Read,State Loc,PT City,PT ZipCode,Lat,Long
ACTIVE,Truck,2022,Cascadia PT126SLP,NE7516,  Available,73.25%,2x encores,"1x Moved acc
1x Never installed",1,Enabled,66278282,82139191,2025-12-04 09:52:00,CA,Fresno, 93722,36.805497,-119.877865
ACTIVE,Truck,2022,Cascadia PT126SLP,NE7518,  Available,86.36%,2x encores,"1x discharged
1x never installed",1,Enabled,26317444,82152780,2025-12-03 21:20:00,CA,San Bernardino County, 92365,34.830827,-116.705713
ACTIVE,Truck,2022,Cascadia PT126SLP,NE7519,  Available,75.93%,2x encores,"1x low
1x moved",1,Enabled,26317205,82157425,2025-12-03 21:52:00,CA,Fresno, 93725,36.675753,-119.735253
ACTIVE,Truck,2022,Cascadia PT126SLP,NE7520,  Available,93.75%,2x encores,Working Passtime only,1,Enabled,66278275,82144244,2025-12-04 09:39:00,AL,Caddo County, 73048,35.52959,-98.510042
ACTIVE,Truck,2022,Cascadia PT126SLP,NE9231,  Available,15.38%,Fully Working,Properly working,-1,Enabled,66762372,84321643,2025-12-04 08:50:00,CA,San Bernardino County, 92407,34.200903,-117.37513
ACTIVE,Truck,2022,Cascadia PT126SLP,NM1482,  Out for Repo,91.67%,2x encores,"1x discharged
1x never installed",1,Enabled,26317215,82144881,2025-12-04 08:38:00,IN,Tucumcari, 88401,35.157755,-103.704655
ACTIVE,Truck,2022,Cascadia PT126SLP,NM2913,  Available,25.00%,Fully Working,Properly working,1,Enabled,66762334,84321709,2025-12-04 10:56:00,SC,Sumter County, 29154,33.870858,-80.354972
ACTIVE,Truck,2022,Cascadia PT126SLP,NS3258,  Available,6.29%,1x passtime,Disconnected,1,Warning Sent,66762235,84321697,2025-12-04 07:05:00,AK,Oak Grove, 64075,39.01554,-94.134132
ACTIVE,Truck,2022,PT126SLP,NB5256,  Available,17.95%,Fully Working,Properly working,1,Enabled,66762104,84321609,2025-12-04 09:01:00,IN,Oakwood, 46239,40.12452,-86.001635
ACTIVE,Truck,2022,PT126SLP,NB5517,  Available,17.95%,Fully Working,Properly working,-1,Enabled,66762337,84333279,2025-12-04 11:23:00,IN,Whiteland, 46184,39.549308,-86.038077
ACTIVE,Truck,2022,Reefer Carrier X5 7500,027270,  Available,51.54%,Fully Working,Properly working,1,"",,84437061,2025-12-03 23:39:00,AL,Moonachie, 07074,40.831353,-74.057987
ACTIVE,Truck,2022,T12664ST,NP6410,  Available,7.69%,Fully Working,Properly working,1,Enabled,66770579,84352860,2025-12-04 10:57:00,TN,Jackson, 42134,36.713583,-86.502138
